turnover_id,Client_ID,Partner_ID,Currency_ID,Game_ID,Provider_ID,Product_ID,Is_RakeTransaction,Is_Calculated,Is_Rollbacked,Is_Bonus,Bet_Amount,Win_Amount,BonusBet_Amount,BonusWin_Amount,RakeBet_Amount,RakeWin_Amount,BetAmountIn_EUR,WinAmountIn_EUR,BonusBetAmountIn_EUR,BonusWinAmountIn_EUR,RakeBetAmountIn_EUR,RakeWinAmountIn_EUR
310,140,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,272500,365750,0,0,0,0,194.7691025,261.4194468,0,0,0,0
311,140,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,30000,0,0,0,0,0,21.44247,0,0,0,0,0
312,140,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,370000,367375,0,0,0,0,264.45713,262.580914,0,0,0,0
313,145,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,52500,92875,0,0,0,0,37.5243225,66.38231338,0,0,0,0
314,154,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,75000,103750,0,0,0,0,53.606175,74.15520875,0,0,0,0
315,143,4,Currency C,332,337,441,FALSE,TRUE,FALSE,FALSE,102500,113750,0,0,0,0,73.2617725,81.30269875,0,0,0,0
316,148,4,Currency C,333,356,448,FALSE,TRUE,FALSE,FALSE,182500,131750,0,0,0,0,130.4416925,94.16818075,0,0,0,0
317,175,4,Currency C,333,356,448,FALSE,TRUE,FALSE,FALSE,282500,288250,0,0,0,0,201.9165925,206.0263993,0,0,0,0
318,148,4,Currency C,333,356,448,FALSE,TRUE,FALSE,FALSE,440000,426500,0,0,0,0,314.48956,304.8404485,0,0,0,0
319,175,4,Currency C,333,356,448,FALSE,TRUE,FALSE,FALSE,1312500,1085750,0,0,0,0,938.1080625,776.0387268,0,0,0,0
320,140,4,Currency C,334,337,441,FALSE,TRUE,FALSE,FALSE,12500,0,0,0,0,0,8.9343625,0,0,0,0,0
321,140,4,Currency C,334,337,441,FALSE,TRUE,FALSE,FALSE,200000,274125,0,0,0,0,142.9498,195.9305696,0,0,0,0
322,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,27750,2750,0,0,0,0,19.83428475,1.96555975,0,0,0,0
323,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,157500,32500,0,0,0,0,112.5729675,23.2293425,0,0,0,0
324,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,40000,0,0,0,0,0,28.58996,0,0,0,0,0
325,177,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,121000,62500,0,0,0,0,86.484629,44.6718125,0,0,0,0
326,143,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,1000,0,0,0,0,0,0.714749,0,0,0,0,0
327,177,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,281750,112500,0,0,0,0,201.3805308,80.4092625,0,0,0,0
328,176,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,62500,0,0,0,0,0,44.6718125,0,0,0,0,0
329,177,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,75000,62500,0,0,0,0,53.606175,44.6718125,0,0,0,0
330,143,4,Currency C,335,337,441,FALSE,TRUE,FALSE,FALSE,2000,1500,0,0,0,0,1.429498,1.0721235,0,0,0,0
